Category,Account Code,Account Name,2025,2026
Charges for Services: Public Safety,34320,Misc. Fire Permits,8,500
Charges for Services: Public Safety,34327,Fire Plan Review Fees,165000,185000
Charges for Services: Planning & Engineering,34328,Plat Review Fees,21000,21200
Charges for Services: Public Safety,34330,Fire/Inspections,12000,20000
Charges for Services: Public Safety,34333,Fire Sprinkler/Alarm Reviews,129000,160100
Charges for Services: General,34337,HazMat State Reimbursement,40000,20000
Charges for Services: Public Safety,34390,Fire Miscellaneous Revenue,35000,63000
Charges for Services: Parks & Recreation,34570,PS - Concessions,198700,225000
Charges for Services: Parks & Recreation,34571,PS - Golf Cart Consessions,0,0
Charges for Services: General,34710,Program Revenues,215000,313000
Charges for Services: General,34711,Program Revenues/Taxable,5000,7500
Charges for Services: General,34712,Senior Tours,25000,25000
Charges for Services: General,34713,Uniform/Costume Fees,2500,2500
Charges for Services: General,34715,Player's Fees,10,0
Charges for Services: General,34716,Player's Fees/Taxable,5000,10000
Charges for Services: Parks & Recreation,34717,Rec Boxing Program Revenue,7000,10000
Charges for Services: Parks & Recreation,34718,Rec Boxing Retail Sales/Taxable,500,2000
Charges for Services: General,34720,Facilities Rental,103000,103000
Charges for Services: General,34725,Facility Clean Up Charge,5000,10000
Charges for Services: General,34730,Rodeo Lease Revenue,8000,8000
Charges for Services: General,34735,Charge/Event Security Service,5000,10000
Charges for Services: General,34736,City Sponsored Events,10670,10000
Charges for Services: Parks & Recreation,34740,Swimming Pool Admission/Rental,60000,60000
Charges for Services: Parks & Recreation,34745,Swimming Pool Lessons,5,0
Charges for Services: General,34750,Concessions,76600,80000
Charges for Services: General,34760,Advertising Revenue,2800,5000
Charges for Services: General,34770,Forestry Miscellaneous Revenue,0,0
Charges for Services: General,34773,Impact Fees,2620100,4803400
Charges for Services: Parks & Recreation,34774,Park Impact Fees,2300000,3212700
Charges for Services: General,34775,Oral History,0,0
Charges for Services: General,34777,Summer Reading,1000,1000
Charges for Services: Parks & Recreation,34780,Band Shell Rental,12000,12000
Charges for Services: Parks & Recreation,34781,Mallard Park Shelter Rentals,20000,20000
Charges for Services: Parks & Recreation,34782,Pipe Dream Park Shelter Rental,1000,1000
Charges for Services: General,34785,Luby Gazebo,2000,2000
Charges for Services: General,34790,Rose Garden Rental,1100,1100
Charges for Services: Parks & Recreation,34795,Parks Miscellaneous Revenue,262578,314912
Charges for Services: Parks & Recreation,34796,Curtis Park Rental,4000,4400
Charges for Services: General,34810,Sale of Lots,86000,86000
Charges for Services: General,34820,Grave Fees,126900,137200
Charges for Services: General,34840,Saturday Burials,7000,7500
Charges for Services: General,34910,Season Ticket Revenue,190900,250000
Charges for Services: Parks & Recreation,34911,FV - Season Ticket Revenue,48000,50000
Charges for Services: Parks & Recreation,34930,PS - Green Fees,662300,725000
Charges for Services: Parks & Recreation,34931,FV - Green Fees,202500,212600
Charges for Services: Parks & Recreation,34940,PS - Trail Fees,32000,33600
Charges for Services: Parks & Recreation,34941,Daily Trail Fees,13000,13200
Charges for Services: General,34951,Pro Shop Revenue,154000,180000
Charges for Services: General,34953,PS Range Fees,64000,67200
Fines & Special Assessments,35110,Court Fines,180000,109600
Fines & Special Assessments,35120,Overtime Parking Fines,0,0
Fines & Special Assessments,35130,Library Fines,3500,3500
Fines & Special Assessments,35140,Past Due Charges,0,0
Fines & Special Assessments,35510,Special Assessments,480000,523652
"Interest, Rents & Leases",36105,Accrued Interest Revenue,12,0
